target,shown_position,n_rows,n_positive,n_folds,mean_auc,std_auc
voter_help_label,1,383,268,5.0,0.6620285465365022,0.09472089854057349
voter_help_label,2,383,241,5.0,0.6939678415234372,0.048631121564781644
voter_help_label,3,383,209,5.0,0.6434791932632464,0.04931763851858162
voter_help_label,4,383,200,5.0,0.6346823489636575,0.03291222317206413
voter_help_label,pooled,1532,918,,0.6585394825717108,0.022711876427377858
voter_hurt_label,1,383,109,5.0,0.7047812139093418,0.09305473019508517
voter_hurt_label,2,383,133,5.0,0.738892654283634,0.05038544694278919
voter_hurt_label,3,383,154,5.0,0.7451040490769707,0.045658807080761
voter_hurt_label,4,383,167,5.0,0.6869336718567352,0.07329837618377849
voter_hurt_label,pooled,1532,563,,0.7189278972816704,0.02401843852093924
voter_best_pick_vote,1,383,182,5.0,0.5534885959386933,0.06435506973327809
voter_best_pick_vote,2,383,86,5.0,0.6305785031540989,0.035501892563532436
voter_best_pick_vote,3,383,67,5.0,0.6872619889301875,0.1091918462600115
voter_best_pick_vote,4,383,48,5.0,0.7931854049083183,0.04087353108562222
voter_best_pick_vote,pooled,1532,383,,0.6661286232328245,0.08738082126798052
voter_signed_top_choice,1,383,155,5.0,0.6842738226625655,0.08943277281952097
voter_signed_top_choice,2,383,88,5.0,0.7774555916592644,0.03964974915162046
voter_signed_top_choice,3,383,76,5.0,0.7548314704822454,0.10565409445879262
voter_signed_top_choice,4,383,72,5.0,0.8666512463357197,0.04375594473003564
voter_signed_top_choice,pooled,1532,391,,0.7708030327849487,0.06514125341756002
