target,test,kind,n_folds,mean_auc,std_auc,mean_r2,std_r2
voter_help_label,position_only,classification,5,0.577168786697429,0.04411378055352994,,
voter_help_label,activation_plus_position,classification,5,0.7005732889619679,0.038408150891916217,,
voter_help_label,activation_layer,classification,5,0.6983288377151002,0.03952149154188307,,
voter_help_label,field_order_only,classification,5,0.5705719582250842,0.023054813600981192,,
voter_help_label,position_plus_field_order,classification,5,0.6057318657690601,0.041038258604983266,,
voter_help_label,activation_plus_field_order,classification,5,0.6987457334752352,0.038983452040358114,,
voter_help_label,activation_plus_position_plus_field_order,classification,5,0.7012108148435597,0.038207963742977975,,
voter_help_label,activation_layer_no_repair_ballots,classification,5,0.6926368540840547,0.031058550329066244,,
voter_hurt_label,position_only,classification,5,0.5684939773403166,0.03866076201261305,,
voter_hurt_label,activation_plus_position,classification,5,0.7265503422499732,0.02572969990665349,,
voter_hurt_label,activation_layer,classification,5,0.7246789062756738,0.024973707510946977,,
voter_hurt_label,field_order_only,classification,5,0.5726611018126657,0.019346899531756178,,
voter_hurt_label,position_plus_field_order,classification,5,0.5946285434970229,0.03573180841299056,,
voter_hurt_label,activation_plus_field_order,classification,5,0.7255023608529833,0.024404755876993423,,
voter_hurt_label,activation_plus_position_plus_field_order,classification,5,0.7272217446170355,0.024983851058145025,,
voter_hurt_label,activation_layer_no_repair_ballots,classification,5,0.7284020913519313,0.02057602131693793,,
voter_signed_top_choice,position_only,classification,5,0.6033343429704938,0.04090913946549447,,
voter_signed_top_choice,activation_plus_position,classification,5,0.8014277331285282,0.03660276752162553,,
voter_signed_top_choice,activation_layer,classification,5,0.7996932547733345,0.03690620867726075,,
voter_signed_top_choice,field_order_only,classification,5,0.5106539707149949,0.007154792234524273,,
voter_signed_top_choice,position_plus_field_order,classification,5,0.6078424682752686,0.03968981173418399,,
voter_signed_top_choice,activation_plus_field_order,classification,5,0.7997132329038497,0.036511828831029575,,
voter_signed_top_choice,activation_plus_position_plus_field_order,classification,5,0.801413651705069,0.03638179672416065,,
voter_signed_top_choice,activation_layer_no_repair_ballots,classification,5,0.7988547306424932,0.03141170220035691,,
voter_best_pick_vote,position_only,classification,5,0.6832649806334018,0.030363006548278573,,
voter_best_pick_vote,activation_plus_position,classification,5,0.7522406163765842,0.029407404749963447,,
voter_best_pick_vote,activation_layer,classification,5,0.7508437339932196,0.029009484897638143,,
voter_best_pick_vote,field_order_only,classification,5,0.5,2.482534153247273e-17,,
voter_best_pick_vote,position_plus_field_order,classification,5,0.6832649806334017,0.030363006548278556,,
voter_best_pick_vote,activation_plus_field_order,classification,5,0.7505278548543111,0.029431672827190947,,
voter_best_pick_vote,activation_plus_position_plus_field_order,classification,5,0.7522353291262707,0.029379267533196734,,
voter_best_pick_vote,activation_layer_no_repair_ballots,classification,5,0.7496723472191282,0.032479438144015146,,
voter_allocation,position_only,regression,5,,,0.025840892678813822,0.022576030772640313
voter_allocation,activation_plus_position,regression,5,,,0.17693579208575647,0.055424781978839946
voter_allocation,activation_layer,regression,5,,,0.17314597877752627,0.054777883240837794
voter_allocation,field_order_only,regression,5,,,0.005910999261321925,0.005117806833502892
voter_allocation,position_plus_field_order,regression,5,,,0.03325907335776508,0.022022146263823112
voter_allocation,activation_plus_field_order,regression,5,,,0.17322997657296393,0.05410374376699251
voter_allocation,activation_plus_position_plus_field_order,regression,5,,,0.17700789444325676,0.0551160048185473
voter_allocation,activation_layer_no_repair_ballots,regression,5,,,0.13522942410849118,0.10042745195624854
voter_allocation_centered,position_only,regression,5,,,0.029889146892578666,0.02430382219543935
