target,length_stratum,length_low,length_high,n_rows,n_positive,n_folds,mean_auc,std_auc
voter_help_label,1,1.0,45.0,383,264,5.0,0.7177128094834326,0.07127049607062923
voter_help_label,2,45.0,124.0,383,256,5.0,0.6753143036617062,0.07479610228103752
voter_help_label,3,124.0,234.0,383,211,5.0,0.6030855336574993,0.047370274414411
voter_help_label,4,234.0,325.0,383,187,5.0,0.551513084290302,0.044127918424951326
voter_help_label,pooled,,,1532,918,,0.636906432773235,0.06411067041713933
voter_hurt_label,1,1.0,45.0,383,92,5.0,0.7590087726904098,0.06160749966149636
voter_hurt_label,2,45.0,124.0,383,114,5.0,0.7127112997130406,0.06013474329833257
voter_hurt_label,3,124.0,234.0,383,166,5.0,0.5929659411190531,0.03268989995622924
voter_hurt_label,4,234.0,325.0,383,191,5.0,0.5463063479269961,0.03686311595069113
voter_hurt_label,pooled,,,1532,563,,0.6527480903623748,0.08629986817093296
voter_best_pick_vote,1,1.0,45.0,383,128,5.0,0.6042874567960774,0.03354686976985425
voter_best_pick_vote,2,45.0,124.0,383,115,5.0,0.6918589216824447,0.04380282981001449
voter_best_pick_vote,3,124.0,234.0,383,65,5.0,0.8199133378079704,0.06998156205817939
voter_best_pick_vote,4,234.0,325.0,383,75,5.0,0.752762790036696,0.09618050140281639
voter_best_pick_vote,pooled,,,1532,383,,0.7172056265807971,0.07938223090731462
voter_signed_top_choice,1,1.0,45.0,383,180,5.0,0.6666660797433075,0.07534485413469488
voter_signed_top_choice,2,45.0,124.0,383,117,5.0,0.7548710395643374,0.0907490926016406
voter_signed_top_choice,3,124.0,234.0,383,50,5.0,0.7130067481284599,0.07037687608935404
voter_signed_top_choice,4,234.0,325.0,383,44,5.0,0.7080283472502524,0.08184893955846126
voter_signed_top_choice,pooled,,,1532,391,,0.7106430536715893,0.031235047275348912
