target,best_layer_index,best_feature_family,selection_metric,selection_value
voter_allocation,16,candidate_minus_self_activation,mean_r2,0.19678673605583852
voter_allocation_centered,16,candidate_minus_self_activation,mean_r2,0.2252251790147096
voter_allocation_rank,16,candidate_minus_self_activation,mean_r2,0.2603553144112544
voter_allocation_z,16,candidate_minus_self_activation,mean_r2,0.24191390243982883
voter_best_pick_vote,16,candidate_minus_self_activation,mean_auc,0.7762475711276886
voter_borda_points,16,candidate_plus_self_delta_activation,mean_r2,0.1480176316150997
voter_borda_points_centered,16,candidate_plus_self_delta_activation,mean_r2,0.14801763096968623
voter_borda_points_z,16,candidate_plus_self_delta_activation,mean_r2,0.14824874399487903
voter_help_label,16,candidate_minus_self_activation,mean_auc,0.7101133208331938
voter_hurt_label,16,candidate_plus_self_delta_activation,mean_auc,0.7475355182661632
voter_negative_mass,16,candidate_minus_self_activation,mean_r2,0.1171140569529083
voter_positive_mass,16,candidate_minus_self_activation,mean_r2,0.20652010444522703
voter_signed_abs_share,16,candidate_minus_self_activation,mean_r2,0.16652781488255103
voter_signed_top_choice,16,candidate_plus_self_delta_activation,mean_auc,0.8291265709124257
