intervention,direction,target_policy,strength,n_ballots,parse_error_rate,target_mean_delta_alloc,target_median_delta_alloc,target_q25_delta_alloc,target_q75_delta_alloc,target_min_delta_alloc,target_max_delta_alloc,target_change_rate,target_increase_rate,target_decrease_rate,target_mean_delta_borda,target_borda_change_rate,target_mean_delta_best_pick,target_best_pick_gain_rate,nontarget_mean_abs_delta_alloc,nontarget_change_rate
help_to_bottom,help,bottom,0.05,50,0.98,0.046719271580128376,0.0,-0.0005027348777348756,0.037999150382327894,-0.1934579439252336,0.6459627329192545,0.58,0.34,0.24,0.19791666666666666,0.32,0.02,0.02,0.045369778931690946,0.5066666666666667
help_to_bottom,help,bottom,0.1,50,0.9,0.06116173939300941,0.0,0.0,0.07453416149068331,-0.1571428571428572,0.6459627329192545,0.64,0.42,0.22,0.3111111111111111,0.38,0.02,0.02,0.05750046304550349,0.6133333333333333
help_to_bottom,help,bottom,0.2,50,0.96,0.042809129602833666,0.0,0.0,0.024999999999999994,-0.1934579439252336,0.6500836120401339,0.52,0.32,0.2,0.29069767441860467,0.3,0.04,0.04,0.06972324856430867,0.5266666666666666
help_to_top,help,top,0.05,50,0.88,-4.06097474967162e-05,0.0,-0.004528460698486697,0.015489130434782589,-0.1829710144927537,0.08488612836438914,0.52,0.28,0.24,-0.09090909090909091,0.06,-0.14,0.0,0.04852921753167612,0.54
help_to_top,help,top,0.1,50,0.82,-0.028045696134893057,0.0,-0.02773497688751919,0.015217391304347794,-0.491304347826087,0.10869565217391303,0.54,0.28,0.26,-0.08888888888888889,0.1,-0.14,0.0,0.04589958110695833,0.56
help_to_top,help,top,0.2,50,0.88,-0.016818852073646997,0.0,-0.01778656126482203,0.012164776235336253,-0.5276679841897233,0.07500000000000001,0.54,0.26,0.28,-0.023809523809523808,0.08,-0.18,0.0,0.05637187985688179,0.54
hurt_to_bottom,hurt,bottom,0.05,50,0.9,0.01713683387696892,0.0,0.0,0.034415584415584316,-0.2857142857142856,0.5212404418011893,0.48,0.28,0.2,0.15555555555555556,0.32,0.02,0.02,0.049362210937766174,0.4533333333333333
hurt_to_bottom,hurt,bottom,0.1,50,0.9,0.015829516137950864,0.0,-0.0066934876717485645,0.06207288258814975,-0.2238927265339292,0.4285714285714285,0.6,0.34,0.26,0.05319148936170213,0.42,0.0,0.0,0.06441983584113921,0.5466666666666666
hurt_to_bottom,hurt,bottom,0.2,50,0.88,0.006184070241028714,0.0,0.0,0.06399868247694336,-0.2238927265339292,0.1291843470061291,0.56,0.38,0.18,0.023255813953488372,0.44,0.0,0.0,0.04638877921530298,0.5666666666666667
hurt_to_top,hurt,top,0.05,50,0.9,-0.03941390364604509,0.0,-0.020454545454545503,0.015202702702702686,-0.5799640610961364,0.07500000000000001,0.58,0.26,0.32,-0.20930232558139536,0.1,-0.22,0.02,0.06286724551370142,0.5933333333333334
hurt_to_top,hurt,top,0.1,50,0.9,-0.056235041529983765,0.0,-0.028444444444444494,0.0,-0.6190476190476188,0.1106719367588932,0.54,0.22,0.32,-0.3888888888888889,0.22,-0.28,0.02,0.07344004202615852,0.5666666666666667
hurt_to_top,hurt,top,0.2,50,0.88,-0.11183066085547895,-0.0016866566716641496,-0.1703832752613239,0.016304347826086973,-0.6618357487922706,0.07500000000000001,0.66,0.26,0.4,-0.6625,0.3,-0.46,0.02,0.08640987835921926,0.6333333333333333
neg_help_to_bottom,neg_help,bottom,0.05,50,0.88,0.018436316069416536,0.0,0.0,0.009057971014492822,-0.27329192546583836,0.3901515151515151,0.54,0.32,0.22,0.03333333333333333,0.32,0.0,0.0,0.05330558459939082,0.5333333333333333
neg_help_to_bottom,neg_help,bottom,0.1,50,0.9,0.00030537820641214126,0.0,-0.010069759679572826,0.01807797950023443,-0.238095238095238,0.17532467532467533,0.6,0.28,0.32,0.011363636363636364,0.4,0.0,0.0,0.06553606208447871,0.5733333333333334
neg_help_to_bottom,neg_help,bottom,0.2,50,0.92,0.013723593465469771,0.0,-0.007488389010128146,0.0535714285714286,-0.2678571428571428,0.4285714285714285,0.6,0.36,0.24,-0.046511627906976744,0.34,0.0,0.0,0.061066798144905204,0.5933333333333334
neg_help_to_top,neg_help,top,0.05,50,0.88,-0.03615969338643783,0.0,0.0,0.014101057579318399,-0.6190476190476188,0.05978260869565222,0.48,0.28,0.2,-0.25555555555555554,0.14,-0.22,0.02,0.06440568730094258,0.52
neg_help_to_top,neg_help,top,0.1,50,0.9,-0.04300479161094036,0.0,-0.0372670807453416,0.0,-0.6190476190476188,0.24703557312252955,0.42,0.2,0.22,-0.42857142857142855,0.24,-0.34,0.0,0.05877847930552562,0.41333333333333333
neg_help_to_top,neg_help,top,0.2,50,0.9,-0.10549787037362382,0.0,-0.15791925465838502,0.0,-0.7777777777777778,0.08488612836438914,0.56,0.16,0.4,-0.6547619047619048,0.32,-0.44,0.0,0.07910906091711416,0.58
neg_hurt_to_bottom,neg_hurt,bottom,0.05,50,0.92,0.041581995174067216,0.0,-0.0015082046332046267,0.016459627329192573,-0.19872110181997038,0.6459627329192545,0.54,0.3,0.24,0.25,0.28,0.04,0.04,0.04753021971766809,0.5266666666666666
neg_hurt_to_bottom,neg_hurt,bottom,0.1,50,0.86,0.049289929686739946,0.0,-0.0010054697554697511,0.0762163561076605,-0.24429040044562728,0.6459627329192545,0.7,0.46,0.24,0.2553191489361702,0.36,0.04,0.04,0.05550728111067672,0.6266666666666667
neg_hurt_to_bottom,neg_hurt,bottom,0.2,50,0.82,0.05167979416567824,0.0,0.0,0.052327920806181705,-0.2238927265339292,0.7673913043478262,0.64,0.46,0.18,0.32978723404255317,0.36,0.06,0.06,0.07306448691525039,0.6533333333333333
neg_hurt_to_top,neg_hurt,top,0.05,50,0.96,0.01410277380735433,0.0,0.0,0.018853671081393866,-0.06111566858080397,0.1964285714285714,0.56,0.34,0.22,-0.07608695652173914,0.08,-0.08,0.02,0.0424563695360299,0.5666666666666667
neg_hurt_to_top,neg_hurt,top,0.1,50,0.82,-0.018551298579024496,0.0,-0.008010680907877099,0.003619691119691182,-0.5276679841897233,0.1964285714285714,0.52,0.24,0.28,-0.07777777777777778,0.06,-0.16,0.0,0.05842706540157721,0.5466666666666666
neg_hurt_to_top,neg_hurt,top,0.2,50,0.9,-0.00023453119897332513,0.0,-0.0020026702269692748,0.00430375139061584,-0.2806324110671936,0.125,0.46,0.24,0.22,-0.022727272727272728,0.08,-0.12,0.0,0.04613918217935184,0.52
random2_to_bottom,random2,bottom,0.05,50,0.86,0.024576227018401616,0.0,-0.008619617994617967,0.06423395445134578,-0.2605042016806722,0.4285714285714285,0.54,0.3,0.24,0.09523809523809523,0.24,0.0,0.0,0.06092610814567491,0.5333333333333333
random2_to_bottom,random2,bottom,0.1,50,0.94,0.007464982885263853,0.0,0.0,0.04214817668207494,-0.2376020880693777,0.3695752752845377,0.5,0.34,0.16,0.06976744186046512,0.2,0.02,0.02,0.03564597120222449,0.4533333333333333
random2_to_bottom,random2,bottom,0.2,50,0.88,0.020478803540737275,0.0,-0.008139933411672524,0.034145021645021596,-0.19872110181997038,0.4155844155844155,0.52,0.26,0.26,0.045454545454545456,0.26,0.0,0.0,0.04830221337109033,0.47333333333333333
