intervention,direction,target_policy,strength,baseline_role,n_rows,mean_delta_allocation,mean_abs_delta_allocation,median_delta_allocation,increase_rate,decrease_rate,large_change_rate,mean_delta_borda,best_pick_gain_rate,best_pick_loss_rate
help_to_bottom,help,bottom,0.05,middle,94,0.004795446170586416,0.04352557042078098,0.0,0.26595744680851063,0.24468085106382978,0.09574468085106383,-0.011111111111111112,0.031914893617021274,0.010638297872340425
help_to_bottom,help,bottom,0.1,middle,94,-0.011604230840778707,0.05476844610939939,0.0,0.2978723404255319,0.3191489361702128,0.13829787234042554,-0.005952380952380952,0.0425531914893617,0.010638297872340425
help_to_bottom,help,bottom,0.2,middle,94,0.0055854921299627325,0.0700758753716935,0.0,0.24468085106382978,0.2872340425531915,0.20212765957446807,0.0,0.0425531914893617,0.010638297872340425
help_to_top,help,top,0.05,middle,100,0.007589707759917469,0.047845750769450864,0.0,0.3,0.24,0.1,0.028409090909090908,0.02,0.01
help_to_top,help,top,0.1,middle,100,0.002244617952748561,0.04410925814672202,0.0,0.25,0.3,0.13,-0.011111111111111112,0.03,0.01
help_to_top,help,top,0.2,middle,100,-0.01768627406770665,0.052796939783015855,0.0,0.26,0.28,0.16,-0.047619047619047616,0.02,0.01
hurt_to_bottom,hurt,bottom,0.05,middle,94,-0.0027911192562760515,0.05284106519888976,0.0,0.18085106382978725,0.26595744680851063,0.1276595744680851,-0.005952380952380952,0.02127659574468085,0.010638297872340425
hurt_to_bottom,hurt,bottom,0.1,middle,94,-0.002316538903755908,0.07124698154168425,0.0,0.2872340425531915,0.2872340425531915,0.18085106382978725,0.10112359550561797,0.06382978723404255,0.010638297872340425
hurt_to_bottom,hurt,bottom,0.2,middle,94,-0.014592278306483382,0.05233462567694922,0.0,0.2978723404255319,0.2765957446808511,0.1276595744680851,0.07407407407407407,0.05319148936170213,0.010638297872340425
hurt_to_top,hurt,top,0.05,middle,100,0.01586184598330259,0.06480855652936714,0.0,0.28,0.32,0.15,0.09883720930232558,0.05,0.01
hurt_to_top,hurt,top,0.1,middle,100,0.013792289666865364,0.07188414838979648,0.0,0.32,0.24,0.17,0.16111111111111112,0.09,0.01
hurt_to_top,hurt,top,0.2,middle,100,0.06124935133479971,0.0877103395706523,0.0,0.35,0.29,0.21,0.25625,0.12,0.01
neg_help_to_bottom,neg_help,bottom,0.05,middle,94,0.0009831897080488268,0.05297059454554027,0.0,0.24468085106382978,0.2978723404255319,0.11702127659574468,0.05813953488372093,0.031914893617021274,0.010638297872340425
neg_help_to_bottom,neg_help,bottom,0.1,middle,94,0.023754004397222247,0.06732073360204863,0.0,0.35106382978723405,0.22340425531914893,0.18085106382978725,0.1130952380952381,0.07446808510638298,0.0
neg_help_to_bottom,neg_help,bottom,0.2,middle,94,0.012684312667647638,0.06555308024449441,0.0,0.32978723404255317,0.2872340425531915,0.1595744680851064,0.10975609756097561,0.05319148936170213,0.010638297872340425
neg_help_to_top,neg_help,top,0.05,middle,100,0.008032298035730719,0.06599468641174405,0.0,0.25,0.26,0.16,0.15555555555555556,0.06,0.01
neg_help_to_top,neg_help,top,0.1,middle,100,0.01216060008136637,0.049768722947294876,0.0,0.24,0.17,0.07,0.14285714285714285,0.08,0.01
neg_help_to_top,neg_help,top,0.2,middle,100,0.03880214375979266,0.08615064743147792,0.0,0.3,0.28,0.24,0.25595238095238093,0.13,0.01
neg_hurt_to_bottom,neg_hurt,bottom,0.05,middle,94,0.0007555334835037962,0.04795955968041632,0.0,0.2553191489361702,0.30851063829787234,0.11702127659574468,-0.03409090909090909,0.02127659574468085,0.010638297872340425
neg_hurt_to_bottom,neg_hurt,bottom,0.1,middle,94,0.003326253403154985,0.055959809420405626,0.0,0.3404255319148936,0.30851063829787234,0.14893617021276595,-0.056179775280898875,0.02127659574468085,0.010638297872340425
