intervention,direction,target_policy,strength,mean_l1_allocation_movement,median_l1_allocation_movement,any_allocation_change_rate,winner_set_change_rate,target_became_winner_rate,target_lost_winner_rate
help_to_bottom,help,bottom,0.05,0.2103666349124233,0.06734234234234233,0.58,0.16,0.02,0.0
help_to_bottom,help,bottom,0.1,0.2357288633602188,0.14650385846038,0.64,0.24,0.04,0.0
help_to_bottom,help,bottom,0.2,0.2396178340368723,0.05408902691511379,0.54,0.3,0.04,0.0
help_to_top,help,top,0.05,0.1491839762090344,0.0413217623497998,0.58,0.18,0.0,0.18
help_to_top,help,top,0.1,0.16940932989885518,0.0980322627592213,0.58,0.2,0.0,0.2
help_to_top,help,top,0.2,0.17296209165690446,0.07017749141920093,0.54,0.22,0.0,0.22
hurt_to_bottom,hurt,bottom,0.05,0.19118988715671636,0.008043758043758079,0.5,0.16,0.02,0.0
hurt_to_bottom,hurt,bottom,0.1,0.23575685012937686,0.09661835748792272,0.62,0.18,0.0,0.0
hurt_to_bottom,hurt,bottom,0.2,0.16209157067728508,0.0778985507246376,0.6,0.18,0.0,0.0
hurt_to_top,hurt,top,0.05,0.2138098875845776,0.061594202898550776,0.6,0.24,0.0,0.24
hurt_to_top,hurt,top,0.1,0.2634077903700512,0.09295020438498697,0.6,0.26,0.0,0.26
hurt_to_top,hurt,top,0.2,0.3167650580226106,0.14596273291925455,0.66,0.48,0.0,0.48
neg_help_to_bottom,neg_help,bottom,0.05,0.1954595328697354,0.04898362507058146,0.56,0.2,0.0,0.0
neg_help_to_bottom,neg_help,bottom,0.1,0.21421678143204181,0.14285714285714277,0.62,0.28,0.0,0.0
neg_help_to_bottom,neg_help,bottom,0.2,0.20700389500124686,0.13778467908902683,0.62,0.28,0.0,0.0
neg_help_to_top,neg_help,top,0.05,0.22150746478715075,0.10323734236777714,0.54,0.22,0.0,0.22
neg_help_to_top,neg_help,top,0.1,0.20506236133793748,0.0,0.44,0.32,0.0,0.32
neg_help_to_top,neg_help,top,0.2,0.3015583182216992,0.15818924514576674,0.62,0.44,0.0,0.44
neg_hurt_to_bottom,neg_hurt,bottom,0.05,0.2044752494952467,0.08695652173913043,0.58,0.16,0.02,0.0
neg_hurt_to_bottom,neg_hurt,bottom,0.1,0.26080114707975544,0.16024844720496897,0.7,0.16,0.02,0.0
neg_hurt_to_bottom,neg_hurt,bottom,0.2,0.2751987259995674,0.14011857707509884,0.66,0.22,0.02,0.0
neg_hurt_to_top,neg_hurt,top,0.05,0.1414669622341931,0.13478260869565228,0.6,0.1,0.0,0.1
neg_hurt_to_top,neg_hurt,top,0.1,0.19714061680109982,0.11374615722441803,0.58,0.22,0.0,0.22
neg_hurt_to_top,neg_hurt,top,0.2,0.1461097437462414,0.07400475816689428,0.58,0.16,0.0,0.16
random2_to_bottom,random2,bottom,0.05,0.22028024923961717,0.11086956521739132,0.56,0.26,0.0,0.0
random2_to_bottom,random2,bottom,0.1,0.1359257863414483,0.008043758043758079,0.5,0.24,0.02,0.0
random2_to_bottom,random2,bottom,0.2,0.17329009017307584,0.034022248446512256,0.52,0.16,0.0,0.0
random2_to_top,random2,top,0.05,0.1441780278925348,0.08152173913043481,0.6,0.12,0.0,0.1
random2_to_top,random2,top,0.1,0.1723128025233201,0.08440255557315593,0.56,0.16,0.0,0.16
random2_to_top,random2,top,0.2,0.2068736406485836,0.07707509881422915,0.56,0.28,0.0,0.28
random3_to_bottom,random3,bottom,0.05,0.12739223356083246,0.0326994784847975,0.56,0.16,0.0,0.0
random3_to_bottom,random3,bottom,0.1,0.17214680938874352,0.03884085949303347,0.52,0.2,0.0,0.0
random3_to_bottom,random3,bottom,0.2,0.1447251971199374,0.061594202898550776,0.56,0.16,0.0,0.0
random3_to_top,random3,top,0.05,0.2304488219868066,0.14880952380952375,0.6,0.22,0.0,0.22
random3_to_top,random3,top,0.1,0.1413030986630574,0.008375947804620004,0.5,0.12,0.0,0.12
random3_to_top,random3,top,0.2,0.23136010773936333,0.008043758043758079,0.5,0.24,0.0,0.24
random_to_bottom,random,bottom,0.05,0.1832733658087071,0.06326463391680784,0.58,0.14,0.0,0.0
random_to_bottom,random,bottom,0.1,0.15920564795916076,0.016462201173892244,0.54,0.14,0.04,0.0
random_to_bottom,random,bottom,0.2,0.17009341360570962,0.06439393939393935,0.56,0.2,0.04,0.0
random_to_top,random,top,0.05,0.21477807313888714,0.03842321162516195,0.54,0.24,0.0,0.24
random_to_top,random,top,0.1,0.22518869475222497,0.0938984289367921,0.58,0.14,0.0,0.14
random_to_top,random,top,0.2,0.21623692359583915,0.09556074766355147,0.68,0.16,0.0,0.16
